,판매시간,홈쇼핑채널,제품명,소비자가,판매가,url
145,13시45분~14시55분,nsmall,[10%세일(~9/18)](무이자)정관장 홍삼활력PLUS 총 7박스/7개월분+쇼핑백 7장,"304,200원","303,200원",http://hsmoa.com/i?id=8283339&from=web_timeline
146,,nsmall,[10%세일(~9/18)](일시불)정관장 홍삼활력PLUS 총 7박스/7개월분+쇼핑백 7장,,"293,200원",http://hsmoa.com/i?id=8283340&from=web_timeline
147,14시27분~14시39분,shopnt,[직][농마드] 서천 재래 바스락 반장김 18봉+도시락김 24봉 [테마_방송],"22,900원","21,900원",http://hsmoa.com/i?id=8286201&from=web_timeline
148,15시39분~16시38분,shopnt,[17년 추석특집] 정관장 홍삼 정옥고 총 9병 (+선물용 쇼핑백),"198,000원","197,000원",http://hsmoa.com/i?id=8285586&from=web_timeline
149,16시00분~17시15분,immall,[전문조리기능장비법] 임성근 전설의 육개장,"49,900원","48,900원",http://hsmoa.com/i?id=8282062&from=web_timeline
150,16시00분~17시00분,nsmall,국내산손질문어,"59,900원","58,900원",http://hsmoa.com/i?id=8284617&from=web_timeline
151,16시38분~17시38분,shopnt,[방송에서만 사은품] 농마드 남원 춘향골 포기김치 8KG (+농마드상품권 1만원권),"30,900원","29,900원",http://hsmoa.com/i?id=8285587&from=web_timeline
152,17시00분~17시20분,nsmall,농협 수호천사 2017년 햅쌀 10kg+10kg,"46,000원","41,400원",http://hsmoa.com/i?id=8286020&from=web_timeline
153,17시15분~18시25분,immall,[특집]이가네 국내산 홍어(모듬+초장*6팩),"89,000원","88,000원",http://hsmoa.com/i?id=8282063&from=web_timeline
154,17시20분~18시25분,nsmall,제주마을 은갈치 52토막,"59,900원","58,900원",http://hsmoa.com/i?id=8284618&from=web_timeline
155,17시35분~18시05분,hnsmall,[대박구성] 삼육 발아현미19곡 4박스+3박스 (112팩),"45,900원","41,310원",http://hsmoa.com/i?id=8281823&from=web_timeline
156,18시05분~18시35분,hnsmall,세븐 견과&후르츠 프리미엄 115봉,"59,900원","53,910원",http://hsmoa.com/i?id=8284038&from=web_timeline
157,,hnsmall,세븐 견과&후르츠 115봉,,"53,910원",http://hsmoa.com/i?id=8284039&from=web_timeline
158,19시20분~20시25분,immall,정남진 하늘연쌀 10kg+10kg 총 20kg (17년 햅쌀),"50,900원","49,900원",http://hsmoa.com/i?id=8282110&from=web_timeline
159,19시46분~20시46분,shopnt,"[영광군수협] 몸愛좋은 영광굴비 20팩 (총 40미, 1미당 80g이상)","78,900원","77,900원",http://hsmoa.com/i?id=8285591&from=web_timeline
160,,shopnt,"[영광군수협] 몸愛좋은 영광굴비 20팩 (총 40미, 1미당 70g이상)",,"67,900원",http://hsmoa.com/i?id=8285592&from=web_timeline
161,20시25분~21시25분,immall,창억떡 세트(4가지맛 100개),,"45,900원",http://hsmoa.com/i?id=8282064&from=web_timeline
162,20시30분~21시30분,gsmyshop,"100퍼센트 국내산 농,수산물 사용~ 명인만의 비법이 담긴 김치![강순의 명가] 프리미엄 포기김치 10kg!!",,"65,000원",http://hsmoa.com/i?id=8282103&from=web_timeline
163,,gsmyshop,"100퍼센트 국내산 농,수산물 사용~ 명인만의 비법이 담긴 김치![강순의 명가] 프리미엄 포기김치 5kg!!",,"35,000원",http://hsmoa.com/i?id=8282104&from=web_timeline
164,21시35분~22시35분,hnsmall,정관장 화애락큐 4박스,"390,000원","351,000원",http://hsmoa.com/i?id=8281783&from=web_timeline
165,,hnsmall,[특집] 정관장 화애락큐 4박스,,"351,000원",http://hsmoa.com/i?id=8283276&from=web_timeline
166,,hnsmall,정관장 화애락큐 6박스,,"535,000원",http://hsmoa.com/i?id=8281784&from=web_timeline
167,,hnsmall,정관장 화애락큐 1박스,,"117,000원",http://hsmoa.com/i?id=8281786&from=web_timeline
168,21시40분~22시45분,cjmall,[특집]독하게하자 풋사과 다이어트 시크릿 12주,"134,300원","119,870원",http://hsmoa.com/i?id=8282036&from=web_timeline
169,22시30분~23시45분,immall,백수오궁 5개월[식품의약품안전처 검사명령제 원료확인],"279,000원","278,000원",http://hsmoa.com/i?id=8283358&from=web_timeline
170,,immall,백수오궁 3개월[식품의약품안전처 검사명령제 원료확인],,"178,000원",http://hsmoa.com/i?id=8285951&from=web_timeline
171,22시35분~23시35분,hnsmall,100% 핀란드 자일리톨 크리스탈(100gX5통+휴대용스틱 2gX30포X5박스),"99,000원","89,100원",http://hsmoa.com/i?id=8283681&from=web_timeline
172,,hnsmall,100% 핀란드 자일리톨 크리스탈 스틱 90포 (2gX30포X3박스),,"53,100원",http://hsmoa.com/i?id=8283687&from=web_timeline
173,,hnsmall,100% 핀란드 자일리톨 크리스탈1+1 (100gX10통+휴대용스틱 2gX30포X10박스),,"169,200원",http://hsmoa.com/i?id=8283686&from=web_timeline
174,,hnsmall,100% 핀란드 자일리톨 크리스탈(100gX5통+휴대용스틱 2gX30포X5박스),,"89,100원",http://hsmoa.com/i?id=8283683&from=web_timeline
175,,hnsmall,100% 핀란드 자일리톨 크리스탈1+1 (100gX10통+휴대용스틱 2gX30포X10박스),,"169,200원",http://hsmoa.com/i?id=8283684&from=web_timeline
176,0시00분~1시00분,cjmallplus,CJ제일제당 고메3종함박/미트볼/포테이토 각2개씩 총6개,,"19,900원",http://hsmoa.com/i?id=8285993&from=web_timeline
